sciName
"Petaurillus kinlochii"
"Petaurista albiventer"
"Petaurista alborufus"
"Petaurista caniceps"
"Petaurista elegans"
"Petaurista grandis"
"Petaurista hainana"
"Petaurista lena"
"Petaurista leucogenys"
"Petaurista magnificus"
"Petaurista marica"
"Petaurista mechukaensis"
"Petaurista mishmiensis"
"Petaurista nobilis"
"Petaurista petaurista"
"Petaurista philippensis"
"Petaurista siangensis"
"Petaurista sybilla"
"Petaurista xanthotis"
"Petaurista yunanensis"
"Petinomys crinitus"
"Petinomys fuscocapillus"
"Petinomys genibarbis"
"Petinomys hageni"
"Petinomys lugens"
"Petinomys mindanensis"
"Petinomys setosus"
"Petinomys vordermanni"
"Priapomys leonardi"
"Pteromys momonga"
"Pteromys volans"
"Pteromyscus pulverulentus"
"Trogopterus xanthipes"
"Microsciurus alfari"
"Microsciurus boquetensis"
"Microsciurus flaviventer"
"Microsciurus isthmius"
"Microsciurus mimulus"
"Microsciurus otinus"
"Microsciurus sabanillae"
"Microsciurus santanderensis"
"Microsciurus similis"
"Microsciurus simonsi"
"Rheithrosciurus macrotis"
"Sciurus aberti"
"Sciurus aestuans"
"Sciurus alleni"
"Sciurus anomalus"
"Sciurus arizonensis"
"Sciurus aureogaster"
"Sciurus brasiliensis"
"Sciurus carolinensis"
"Sciurus colliaei"
"Sciurus deppei"
"Sciurus granatensis"
"Sciurus griseus"
"Sciurus ignitus"
"Sciurus igniventris"
"Sciurus lis"
"Sciurus meridionalis"
"Sciurus nayaritensis"
"Sciurus nebouxii"
"Sciurus niger"
"Sciurus oculatus"
"Sciurus pucheranii"
"Sciurus pyrrhinus"
"Sciurus richmondi"
"Sciurus spadiceus"
"Sciurus stramineus"
"Sciurus variegatoides"
"Sciurus vulgaris"
"Sciurus yucatanensis"
"Syntheosciurus brochus"
"Tamiasciurus douglasii"
"Tamiasciurus fremonti"
"Tamiasciurus hudsonicus"
"Ammospermophilus harrisii"
"Ammospermophilus interpres"
"Ammospermophilus leucurus"
"Ammospermophilus nelsoni"
"Callospermophilus lateralis"
"Callospermophilus madrensis"
"Callospermophilus saturatus"
"Cynomys gunnisoni"
"Cynomys leucurus"
"Cynomys ludovicianus"
"Cynomys mexicanus"
"Cynomys parvidens"
"Ictidomys mexicanus"
"Ictidomys parvidens"
"Ictidomys tridecemlineatus"
"Marmota baibacina"
"Marmota bobak"
"Marmota broweri"
"Marmota caligata"
"Marmota camtschatica"
"Marmota caudata"
"Marmota flaviventris"
"Marmota himalayana"
"Marmota kastschenkoi"
"Marmota marmota"
"Marmota menzbieri"
"Marmota monax"
"Marmota olympus"
"Marmota sibirica"
"Marmota vancouverensis"
"Notocitellus adocetus"
"Notocitellus annulatus"
"Otospermophilus beecheyi"
"Otospermophilus douglasii"
"Otospermophilus variegatus"
"Poliocitellus franklinii"
"Spermophilus alaschanicus"
"Spermophilus brevicauda"
"Spermophilus citellus"
"Spermophilus dauricus"
"Spermophilus erythrogenys"
"Spermophilus fulvus"
"Spermophilus major"
"Spermophilus musicus"
"Spermophilus nilkaensis"
"Spermophilus pallidicauda"
"Spermophilus pygmaeus"
"Spermophilus relictus"
"Spermophilus suslicus"
"Spermophilus taurensis"
"Spermophilus xanthoprymnus"
"Urocitellus armatus"
"Urocitellus beldingi"
"Urocitellus brunneus"
"Urocitellus canus"
"Urocitellus columbianus"
"Urocitellus elegans"
"Urocitellus mollis"
"Urocitellus parryii"
"Urocitellus richardsonii"
"Urocitellus townsendii"
"Urocitellus undulatus"
"Urocitellus washingtoni"
"Xerospermophilus mohavensis"
"Xerospermophilus perotensis"
"Xerospermophilus spilosoma"
"Xerospermophilus tereticaudus"
"Epixerus ebii"
"Funisciurus anerythrus"
"Funisciurus bayonii"
"Funisciurus carruthersi"
"Funisciurus congicus"
"Funisciurus duchaillui"
"Funisciurus isabella"
"Funisciurus lemniscatus"
"Funisciurus leucogenys"
"Funisciurus pyrropus"
"Funisciurus substriatus"
"Heliosciurus gambianus"
"Heliosciurus mutabilis"
"Heliosciurus punctatus"
"Heliosciurus rufobrachium"
"Heliosciurus ruwenzorii"
"Heliosciurus undulatus"
"Myosciurus pumilio"
"Paraxerus alexandri"
"Paraxerus boehmi"
"Paraxerus cepapi"
"Paraxerus cooperi"
"Paraxerus flavovittis"
"Paraxerus lucifer"
"Paraxerus ochraceus"
"Paraxerus palliatus"
"Paraxerus poensis"
"Paraxerus vexillarius"
"Paraxerus vincenti"
"Protoxerus aubinnii"
"Protoxerus stangeri"
"Sciurotamias davidianus"
"Sciurotamias forresti"
"Eutamias sibiricus"
"Neotamias alpinus"
"Neotamias amoenus"
"Neotamias bulleri"
"Neotamias canipes"
"Neotamias cinereicollis"
"Neotamias cratericus"
"Neotamias dorsalis"
"Neotamias durangae"
"Neotamias grisescens"
"Neotamias merriami"
"Neotamias minimus"
"Neotamias obscurus"
"Neotamias ochrogenys"
"Neotamias palmeri"
"Neotamias panamintinus"
"Neotamias quadrimaculatus"
"Neotamias quadrivittatus"
"Neotamias ruficaudus"
"Neotamias rufus"
"Neotamias senex"
"Neotamias siskiyou"
"Neotamias solivagus"
"Neotamias sonomae"
"Neotamias speciosus"
"Neotamias townsendii"
"Neotamias umbrinus"
"Tamias striatus"
"Atlantoxerus getulus"
"Euxerus erythropus"
"Geosciurus inauris"
"Geosciurus princeps"
"Spermophilopsis leptodactyla"
"Xerus rutilus"
"Anomalurus beecrofti"
"Anomalurus derbianus"
"Anomalurus pelii"
"Anomalurus pusillus"
"Idiurus macrotis"
"Idiurus zenkeri"
"Pedetes capensis"
"Pedetes surdaster"
"Zenkerella insignis"
"Castor canadensis"
"Castor fiber"
"Cratogeomys castanops"
"Cratogeomys fulvescens"
"Cratogeomys fumosus"
"Cratogeomys goldmani"
"Cratogeomys merriami"
"Cratogeomys perotensis"
"Cratogeomys planiceps"
"Geomys arenarius"
"Geomys attwateri"
"Geomys brazensis"
"Geomys breviceps"
"Geomys bursarius"
"Geomys jugossicularis"
"Geomys knoxjonesi"
"Geomys lutescens"
"Geomys personatus"
"Geomys pinetis"
"Geomys streckeri"
"Geomys texensis"
"Geomys tropicalis"
"Heterogeomys cavator"
"Heterogeomys cherriei"
"Heterogeomys dariensis"
"Heterogeomys heterodus"
"Heterogeomys hispidus"
"Heterogeomys lanius"
"Heterogeomys underwoodi"
"Orthogeomys grandis"
"Pappogeomys bulleri"
"Zygogeomys trichopus"
"Thomomys atrovarius"
"Thomomys bottae"
"Thomomys bulbivorus"
"Thomomys clusius"
"Thomomys idahoensis"
"Thomomys mazama"
"Thomomys monticola"
"Thomomys nayarensis"
"Thomomys sheldoni"
"Thomomys talpoides"
"Thomomys townsendii"
"Thomomys umbrinus"
"Dipodomys agilis"
"Dipodomys californicus"
"Dipodomys compactus"
"Dipodomys deserti"
"Dipodomys elator"
"Dipodomys gravipes"
"Dipodomys heermanni"
"Dipodomys ingens"
"Dipodomys merriami"
"Dipodomys microps"
"Dipodomys nelsoni"
"Dipodomys nitratoides"
"Dipodomys ordii"
"Dipodomys ornatus"
"Dipodomys panamintinus"
"Dipodomys phillipsii"
"Dipodomys simulans"
"Dipodomys spectabilis"
"Dipodomys stephensi"
"Dipodomys venustus"
"Microdipodops megacephalus"
"Microdipodops pallidus"
"Heteromys adspersus"
"Heteromys anomalus"
"Heteromys australis"
"Heteromys bulleri"
"Heteromys catopterius"
"Heteromys desmarestianus"
"Heteromys gaumeri"
"Heteromys goldmani"
"Heteromys irroratus"
"Heteromys nelsoni"
"Heteromys nubicolens"
"Heteromys oasicus"
"Heteromys oresterus"
"Heteromys pictus"
"Heteromys salvini"
"Heteromys spectabilis"
"Heteromys teleus"
"Chaetodipus ammophilus"
"Chaetodipus arenarius"
"Chaetodipus artus"
"Chaetodipus baileyi"
"Chaetodipus californicus"
"Chaetodipus collis"
"Chaetodipus durangae"
"Chaetodipus eremicus"
"Chaetodipus fallax"
"Chaetodipus formosus"
"Chaetodipus goldmani"
"Chaetodipus hispidus"
"Chaetodipus intermedius"
"Chaetodipus lineatus"
"Chaetodipus nelsoni"
"Chaetodipus penicillatus"
"Chaetodipus pernix"
"Chaetodipus rudinoris"
"Chaetodipus siccus"
"Chaetodipus spinatus"
"Perognathus alticola"
"Perognathus amplus"
"Perognathus fasciatus"
"Perognathus flavescens"
"Perognathus flavus"
"Perognathus inornatus"
"Perognathus longimembris"
"Perognathus merriami"
"Perognathus mollipilosus"
"Perognathus parvus"
"Allactaga major"
"Allactaga severtzovi"
"Allactodipus bobrinskii"
"Orientallactaga balikunica"
"Orientallactaga bullata"
"Orientallactaga sibirica"
"Pygeretmus platyurus"
"Pygeretmus pumilio"
"Pygeretmus shitkovi"
"Scarturus aulacotis"
"Scarturus caprimulga"
"Scarturus elater"
"Scarturus euphraticus"
"Scarturus heptneri"
"Scarturus hotsoni"
"Scarturus indicus"
"Scarturus tetradactylus"
"Scarturus vinogradovi"
"Scarturus williamsi"
"Cardiocranius paradoxus"
"Salpingotus crassicauda"
"Salpingotus heptneri"
"Salpingotus kozlovi"
"Salpingotus michaelis"
"Salpingotus pallidus"
"Salpingotus thomasi"
"Chimaerodipus auritus"
"Dipus deasyi"
"Dipus sagitta"
"Eremodipus lichtensteini"
"Jaculus blanfordi"
"Jaculus hirtipes"
"Jaculus jaculus"
"Jaculus loftusi"
"Jaculus orientalis"
"Paradipus ctenodactylus"
"Stylodipus andrewsi"
"Stylodipus birulae"
"Stylodipus sungorus"
"Stylodipus telum"
"Euchoreutes naso"
"Sicista armenica"
"Sicista betulina"
"Sicista caucasica"
"Sicista caudata"
"Sicista cimlanica"
"Sicista concolor"
"Sicista kazbegica"
"Sicista kluchorica"
"Sicista loriger"
"Sicista napaea"
"Sicista pseudonapaea"
"Sicista severtzovi"
"Sicista strandi"
"Sicista subtilis"
"Sicista talgarica"
